,train_acc,test_acc,p_norm
0,1.0,0.6039999723434448,0.10318008065223694
1,1.0,0.6129999756813049,0.11475594341754913
2,1.0,0.6069999933242798,0.11014749109745026
3,1.0,0.609000027179718,0.1174563616514206
4,1.0,0.6039999723434448,0.09382396191358566
5,1.0,0.6129999756813049,0.11578764766454697
6,0.9583333134651184,0.6119999885559082,0.08084124326705933
7,0.9666666388511658,0.5950000286102295,0.1020142138004303
8,1.0,0.6110000014305115,0.11062320321798325
9,1.0,0.6050000190734863,0.10785879194736481
