,train_acc,test_acc,p_norm
0,0.8083333373069763,0.6449999809265137,0.07721409946680069
1,0.7749999761581421,0.5950000286102295,0.07232964783906937
2,0.8583333492279053,0.6359999775886536,0.07771366834640503
3,0.8500000238418579,0.6299999952316284,0.0795818343758583
4,0.8333333134651184,0.6460000276565552,0.0711478441953659
5,0.8583333492279053,0.6320000290870667,0.07519073039293289
6,0.824999988079071,0.6060000061988831,0.0742570087313652
7,0.7916666865348816,0.6370000243186951,0.07774726301431656
8,0.8333333134651184,0.6179999709129333,0.07407400012016296
9,0.8416666388511658,0.6269999742507935,0.07620715349912643
