,train_acc,test_acc,p_norm
0,0.9638798832893372,0.8669999837875366,0.04756886139512062
1,0.9554262757301331,0.8769999742507935,0.045067738741636276
2,0.9760662913322449,0.8690000176429749,0.04622736945748329
3,0.9634956121444702,0.8840000033378601,0.04096432402729988
4,0.9649228453636169,0.8809999823570251,0.04778429493308067
5,0.9877586960792542,0.8799999952316284,0.05334298685193062
6,0.9766152501106262,0.8700000047683716,0.05630948767066002
7,0.9719492793083191,0.8740000128746033,0.049502599984407425
8,0.9797990918159485,0.8759999871253967,0.05289522558450699
9,0.9801284670829773,0.8650000095367432,0.05127771198749542
