,train_acc,test_acc,p_norm
0,1.0,0.7419999837875366,0.3661895990371704
1,1.0,0.7509999871253967,0.35411861538887024
2,0.9994526505470276,0.7369999885559082,0.35015663504600525
3,1.0,0.7429999709129333,0.357255220413208
4,1.0,0.7409999966621399,0.35891643166542053
5,1.0,0.7450000047683716,0.34158921241760254
6,0.9994526505470276,0.7400000095367432,0.3465288579463959
7,1.0,0.7409999966621399,0.3671239912509918
8,1.0,0.7519999742507935,0.3509564697742462
9,1.0,0.7540000081062317,0.3539797365665436
