,train_acc,test_acc,p_norm
0,0.5779967308044434,0.6230000257492065,0.025164641439914703
1,0.6212369799613953,0.6570000052452087,0.02902541123330593
2,0.5079365372657776,0.5320000052452087,0.02712659351527691
3,0.5758073329925537,0.5979999899864197,0.02632407657802105
4,0.5254515409469604,0.5379999876022339,0.02551249787211418
5,0.5418719053268433,0.5529999732971191,0.022970369085669518
6,0.48166394233703613,0.49900001287460327,0.023614462465047836
7,0.5851122140884399,0.6079999804496765,0.02353544905781746
8,0.5900382995605469,0.6200000047683716,0.026388950645923615
9,0.6267104744911194,0.6549999713897705,0.029363963752985
