,train_acc,test_acc,p_norm
0,0.7083333134651184,0.6420000195503235,0.04509573057293892
1,0.7250000238418579,0.5920000076293945,0.04559624195098877
2,0.7666666507720947,0.6259999871253967,0.0482749305665493
3,0.7833333611488342,0.6309999823570251,0.04721781983971596
4,0.7749999761581421,0.625,0.04849490150809288
5,0.7666666507720947,0.6320000290870667,0.04846102371811867
6,0.75,0.6159999966621399,0.045938171446323395
7,0.7333333492279053,0.6209999918937683,0.05064380168914795
8,0.7666666507720947,0.6039999723434448,0.05119464918971062
9,0.7749999761581421,0.6380000114440918,0.04554760456085205
