,train_acc,test_acc,p_norm
0,0.623344361782074,0.6079999804496765,0.031086836010217667
1,0.6167218685150146,0.578000009059906,0.03304291144013405
2,0.6225165724754333,0.6050000190734863,0.0295735914260149
3,0.623344361782074,0.5830000042915344,0.03308612480759621
4,0.5695364475250244,0.5600000023841858,0.021551882848143578
5,0.6134105920791626,0.5889999866485596,0.028688430786132812
6,0.6415562629699707,0.6029999852180481,0.031033789739012718
7,0.5778145790100098,0.5559999942779541,0.03007863089442253
8,0.6134105920791626,0.5879999995231628,0.03402887284755707
9,0.6341059803962708,0.6200000047683716,0.03026130609214306
