,train_acc,test_acc,p_norm
0,0.944444477558136,0.9500000476837158,0.6080261468887329
1,0.9305555820465088,0.9166666865348816,0.6761940717697144
2,0.8888888955116272,0.9166666865348816,0.572583019733429
3,0.944444477558136,0.9333333969116211,0.6785017848014832
4,0.9722222089767456,0.9500000476837158,0.6099653840065002
5,0.944444477558136,0.9500000476837158,0.5837825536727905
6,0.9166666865348816,0.9166666865348816,0.699911892414093
7,0.9305555820465088,0.9166666865348816,0.5947726368904114
8,0.9305555820465088,0.9333333969116211,0.6400778293609619
9,0.9166666865348816,0.9333333969116211,0.6647341251373291
