,train_acc,test_acc,p_norm
0,0.9221854209899902,0.718999981880188,0.07111205905675888
1,0.9163907170295715,0.7260000109672546,0.07188615947961807
2,0.9056291580200195,0.7239999771118164,0.07516026496887207
3,0.9180463552474976,0.7279999852180481,0.07116159796714783
4,0.9097682237625122,0.7239999771118164,0.07311515510082245
5,0.9254966974258423,0.7260000109672546,0.0737452581524849
6,0.9006622433662415,0.7480000257492065,0.06800717860460281
7,0.9246688485145569,0.7379999756813049,0.07569454610347748
8,0.9197019934654236,0.7279999852180481,0.07072275131940842
9,0.9230132699012756,0.7279999852180481,0.06869839876890182
