,train_acc,test_acc,p_norm
0,0.5642856955528259,0.4399999976158142,0.021260391920804977
1,0.5285714268684387,0.36899998784065247,0.02030852437019348
2,0.5714285969734192,0.4560000002384186,0.021394366398453712
3,0.6000000238418579,0.5170000195503235,0.0217925813049078
4,0.5928571224212646,0.5130000114440918,0.022888710722327232
5,0.550000011920929,0.4909999966621399,0.023424826562404633
6,0.6499999761581421,0.5139999985694885,0.023916812613606453
7,0.5571428537368774,0.47200000286102295,0.023335175588726997
8,0.5285714268684387,0.4560000002384186,0.020595049485564232
9,0.5428571701049805,0.4869999885559082,0.022428762167692184
