,train_acc,test_acc,p_norm
0,0.7328868508338928,0.7319999933242798,0.0107557512819767
1,0.7071965932846069,0.7020000219345093,0.010494723916053772
2,0.676785409450531,0.6690000295639038,0.00912017934024334
3,0.7585771679878235,0.7570000290870667,0.010865648277103901
4,0.7339847683906555,0.7310000061988831,0.012189733795821667
5,0.7438656091690063,0.7379999756813049,0.011678718961775303
6,0.7109293341636658,0.7080000042915344,0.008591188117861748
7,0.7620903849601746,0.7649999856948853,0.010578087531030178
8,0.733380913734436,0.7310000061988831,0.011082874611020088
9,0.7076905965805054,0.699999988079071,0.008960735984146595
