,train_acc,test_acc,p_norm
0,0.5216201543807983,0.5450000166893005,0.019238101318478584
1,0.5041050910949707,0.5450000166893005,0.019491421058773994
2,0.4252873659133911,0.4300000071525574,0.019058873876929283
3,0.43404486775398254,0.45100000500679016,0.019761869683861732
4,0.523809552192688,0.5370000004768372,0.021449342370033264
5,0.4772851765155792,0.48899999260902405,0.021098824217915535
6,0.4362342655658722,0.453000009059906,0.016856573522090912
7,0.49370554089546204,0.5080000162124634,0.018192172050476074
8,0.475643128156662,0.4880000054836273,0.022477129474282265
9,0.4329501986503601,0.4740000069141388,0.019871586933732033
