,train_acc,test_acc,p_norm
0,0.6285714507102966,0.5120000243186951,0.035400234162807465
1,0.6285714507102966,0.5220000147819519,0.033628594130277634
2,0.6285714507102966,0.5350000262260437,0.0329250730574131
3,0.5642856955528259,0.43799999356269836,0.03560112789273262
4,0.6285714507102966,0.5569999814033508,0.03154592216014862
5,0.5714285969734192,0.48500001430511475,0.025654450058937073
6,0.6071428656578064,0.5410000085830688,0.036490727216005325
7,0.6285714507102966,0.5519999861717224,0.034442055970430374
8,0.6071428656578064,0.5350000262260437,0.035133443772792816
9,0.6214285492897034,0.5419999957084656,0.03335867449641228
