,train_acc,test_acc,p_norm
0,0.9844101667404175,0.8849999904632568,0.045774903148412704
1,0.983092725276947,0.8799999952316284,0.04620233178138733
2,0.9829829335212708,0.8889999985694885,0.0403304360806942
3,0.9844101667404175,0.8859999775886536,0.04111596941947937
4,0.9794148206710815,0.8880000114440918,0.04296737164258957
5,0.9810616374015808,0.8849999904632568,0.04134051874279976
6,0.982269287109375,0.8830000162124634,0.045003898441791534
7,0.9813910126686096,0.890999972820282,0.04127960279583931
8,0.9797441959381104,0.8830000162124634,0.047605570405721664
9,0.981555700302124,0.8859999775886536,0.045545659959316254
