,train_acc,test_acc,p_norm
0,0.6857143044471741,0.5230000019073486,0.035648148506879807
1,0.5785714387893677,0.4659999907016754,0.037273652851581573
2,0.7071428298950195,0.515999972820282,0.03460414707660675
3,0.6785714030265808,0.5379999876022339,0.03403475135564804
4,0.7285714149475098,0.527999997138977,0.038450464606285095
5,0.5642856955528259,0.4970000088214874,0.03869229182600975
6,0.6857143044471741,0.5260000228881836,0.03370688110589981
7,0.6928571462631226,0.5329999923706055,0.036192432045936584
8,0.7214285731315613,0.5329999923706055,0.037206050008535385
9,0.7071428298950195,0.5249999761581421,0.037193793803453445
