,train_acc,test_acc,p_norm
0,0.5666666626930237,0.5450000166893005,0.02697448432445526
1,0.5416666865348816,0.4729999899864197,0.027464697137475014
2,0.5166666507720947,0.4519999921321869,0.0286173727363348
3,0.550000011920929,0.47999998927116394,0.026474198326468468
4,0.5333333611488342,0.5230000019073486,0.028079761192202568
5,0.5583333373069763,0.5199999809265137,0.028220009058713913
6,0.4833333194255829,0.503000020980835,0.02652469091117382
7,0.550000011920929,0.49300000071525574,0.027182966470718384
8,0.5166666507720947,0.46700000762939453,0.027739007025957108
9,0.574999988079071,0.4650000035762787,0.026148386299610138
