,train_acc,test_acc,p_norm
0,0.9331393837928772,0.8840000033378601,0.02628486417233944
1,0.9292967915534973,0.8960000276565552,0.0259905643761158
2,0.9302300214767456,0.8859999775886536,0.026278695091605186
3,0.9363781213760376,0.8920000195503235,0.02780384011566639
4,0.9370368123054504,0.8880000114440918,0.02578604221343994
5,0.9382994174957275,0.8949999809265137,0.024327397346496582
6,0.929571270942688,0.8899999856948853,0.02424795925617218
7,0.9375308752059937,0.8920000195503235,0.026624998077750206
8,0.9330844879150391,0.8859999775886536,0.027546772733330727
9,0.9337431788444519,0.8889999985694885,0.025777742266654968
