,train_acc,test_acc,p_norm
0,0.6285714507102966,0.5009999871253967,0.026969827711582184
1,0.5857142806053162,0.5090000033378601,0.026836946606636047
2,0.5928571224212646,0.4909999966621399,0.024700403213500977
3,0.5785714387893677,0.48100000619888306,0.025496482849121094
4,0.6285714507102966,0.4729999899864197,0.023367224261164665
5,0.5642856955528259,0.4729999899864197,0.026329388841986656
6,0.6071428656578064,0.48100000619888306,0.022539256140589714
7,0.6285714507102966,0.4860000014305115,0.024394145235419273
8,0.6499999761581421,0.5230000019073486,0.02880185656249523
9,0.6142857074737549,0.5120000243186951,0.025083228945732117
