,train_acc,test_acc,p_norm
0,0.9333333969116211,0.893333375453949,0.500149130821228
1,0.9000000357627869,0.9066666960716248,0.6025283932685852
2,0.9166666865348816,0.893333375453949,0.7030829191207886
3,0.9166666865348816,0.8799999952316284,0.6541038155555725
4,0.9166666865348816,0.893333375453949,0.6664685010910034
5,0.9500000476837158,0.8799999952316284,0.6359559893608093
6,0.9166666865348816,0.893333375453949,0.6096885800361633
7,0.9333333969116211,0.893333375453949,0.4893319308757782
8,0.9500000476837158,0.8799999952316284,0.5877279043197632
9,0.9166666865348816,0.8799999952316284,0.6103081703186035
